DOID	DIAGNOSIS_CD	category	detail
DOID:11396	J81	J81	
DOID:11396	J81.1	J81	1
DOID:114	I51.9	I51	9
DOID:11400	N16	N16	
DOID:11400	N12	N12	
DOID:11400	N10-N16	N10-N16	
DOID:11406	H30.9	H30	9
DOID:1142	H50.15	H50	15
DOID:11424	N80.209	N80	209
DOID:11424	N80.2	N80	2
DOID:11428	N80.5	N80	5
DOID:11429	N80.3	N80	3
DOID:1143	H50.1	H50	1
DOID:1143	H50.10	H50	10
DOID:11430	N80.6	N80	6
DOID:11431	N80.4	N80	4
DOID:11432	N80.1	N80	1
DOID:11432	N80.109	N80	109
DOID:11457	G93.5	G93	5
DOID:11459	G93.2	G93	2
DOID:11472	C32.2	C32	2
DOID:11476	M81.0	M81	0
DOID:1148	Q69.9	Q69	9
DOID:1148	Q69	Q69	
DOID:11486	G90.2	G90	2
DOID:11488	G90.09	G90	09
DOID:11488	G90.0	G90	0
DOID:11491	H53.62	H53	62
DOID:115	I31.4	I31	4
DOID:11502	Q23.3	Q23	3
DOID:11506	H66	H66	
DOID:11506	H66.40	H66	40
DOID:11506	H66.4	H66	4
DOID:11512	I82.0	I82	0
DOID:11514	K14.5	K14	5
DOID:11516	I11.9	I11	9
DOID:11516	I11	I11	
DOID:11518	H57.09	H57	09
DOID:11527	J38.6	J38	6
DOID:11541	H18.83	H18	83
DOID:11543	H16.31	H16	31
DOID:11547	H18.00	H18	00
DOID:11550	H49.0	H49	0
DOID:11552	H18.31	H18	31
DOID:11555	H18.51	H18	51
DOID:11557	H65.00	H65	00
DOID:11557	H65.0	H65	0
DOID:11561	H35.03	H35	03
DOID:11563	H35.06	H35	06
DOID:11573	A32	A32	
DOID:11573	A32.9	A32	9
DOID:11574	G00.2	G00	2
DOID:11577	G83.4	G83	4
DOID:11581	H16.25	H16	25
DOID:11589	G90.1	G90	1
DOID:11593	C67.2	C67	2
DOID:11594	H15.85	H15	85
DOID:116	C38.0	C38	0
DOID:11603	P83.4	P83	4
DOID:11612	E28.2	E28	2
DOID:11615	C60.2	C60	2
DOID:11615	C60.9	C60	9
DOID:11615	C60	C60	
DOID:11623	K04.1	K04	1
DOID:11629	N81.84	N81	84
DOID:11634	E03.9	E03	9
DOID:11637	H52.53	H52	53
DOID:11638	H52.4	H52	4
DOID:11653	H11.11	H11	11
DOID:11656	L12.1	L12	1
DOID:1166	M12.3	M12	3
DOID:1166	M12.30	M12	30
DOID:11661	H53.55	H53	55
DOID:11664	I12	I12	
DOID:11664	N26.9	N26	9
DOID:11665	Q91.7	Q91	7
DOID:11668	H02.73	H02	73
DOID:11669	H02.86	H02	86
DOID:11671	H02.72	H02	72
DOID:11678	B73	B73	
DOID:1168	E78.5	E78	5
DOID:11685	L82.0	L82	0
DOID:11693	K04.4	K04	4
DOID:11695	I81	I81	
DOID:117	C38.0	C38	0
DOID:11714	O24.4	O24	4
DOID:11716	R73.03	R73	03
DOID:11717	P70.2	P70	2
DOID:11719	G71.09	G71	09
DOID:1172	E78.1	E78	1
DOID:11720	G71.09	G71	09
DOID:11721	E74.09	E74	09
DOID:11722	G71.11	G71	11
DOID:11724	G71.03	G71	03
DOID:11724	G71.039	G71	039
DOID:11725	Q87.19	Q87	19
DOID:11727	G71.02	G71	02
DOID:11729	A69.2	A69	2
DOID:11729	A69.20	A69	20
DOID:11746	C57.3	C57	3
DOID:11747	C57.4	C57	4
DOID:11748	C57.2	C57	2
DOID:11750	A37.1	A37	1
DOID:11754	H44.32	H44	32
DOID:11759	D50	D50	
DOID:11771	H55.03	H55	03
DOID:11772	H44.53	H44	53
DOID:11781	H52.22	H52	22
DOID:11782	H52.20	H52	20
DOID:11782	H52.2	H52	2
DOID:11787	D73.2	D73	2
DOID:11797	J37.0	J37	0
DOID:11801	E46	E46	
DOID:11809	C67.5	C67	5
DOID:11811	C67.4	C67	4
DOID:11813	C67.0	C67	0
DOID:11814	C67.3	C67	3
DOID:11816	H43.81	H43	81
DOID:11817	C67.7	C67	7
DOID:11818	C67.6	C67	6
DOID:11819	C66	C66	
DOID:11820	C67.1	C67	1
DOID:11823	K76.7	K76	7
DOID:11824	E78.81	E78	81
DOID:11829	H44.2	H44	2
DOID:11830	H52.1	H52	1
DOID:11831	H47.61	H47	61
DOID:11836	Q66.0	Q66	0
DOID:11836	Q66.89	Q66	89
DOID:11839	C60.1	C60	1
DOID:1184	N04	N04	
DOID:11847	I22	I22	
DOID:11847	I21	I21	
DOID:11851	A30.0	A30	0
DOID:11853	H50.11	H50	11
DOID:11870	G31.01	G31	01
DOID:11871	H16.11	H16	11
DOID:11874	H53.61	H53	61
DOID:11875	K12.1	K12	1
DOID:1188	G58.9	G58	9
DOID:119	C52	C52	
DOID:11905	C51.0	C51	0
DOID:11914	K31.84	K31	84
DOID:11920	C33	C33	
DOID:11949	A81.0	A81	0
DOID:11949	A81.00	A81	00
DOID:11963	K20	K20	
DOID:11963	K20.90	K20	90
DOID:11963	K20.9	K20	9
DOID:11968	N95.2	N95	2
DOID:11975	Q14.2	Q14	2
DOID:11975	H47.31	H47	31
DOID:11975	H47.319	H47	319
DOID:11976	A05.1	A05	1
DOID:11983	Q87.11	Q87	11
DOID:11988	H11.12	H11	12
DOID:11990	A21.0	A21	0
DOID:11991	Q78.8	Q78	8
DOID:11994	N50.0	N50	0
DOID:11996	N44.0	N44	0
DOID:11996	N44.00	N44	00
DOID:11996	N44.02	N44	02
DOID:11997	N43.40	N43	40
DOID:11997	N43.4	N43	4
DOID:120	C57	C57	
DOID:12010	H47.01	H47	01
DOID:12016	C71.1	C71	1
DOID:12028	E26.01	E26	01
DOID:12028	E26.0	E26	0
DOID:12029	H44.13	H44	13
DOID:12030	H44.11	H44	11
DOID:12043	P57.0	P57	0
DOID:1205	T78.40	T78	40
DOID:12053	B45	B45	
DOID:12055	D86.81	D86	81
DOID:1206	F84.2	F84	2
DOID:12070	K31.82	K31	82
DOID:12087	H16.44	H16	44
DOID:1209	H46.2	H46	2
DOID:12096	A25.0	A25	0
DOID:12098	G50.0	G50	0
DOID:1210	H46	H46	
DOID:1210	H46.9	H46	9
DOID:12117	J84.02	J84	02
DOID:12118	J84.03	J84	03
DOID:12120	J84.01	J84	01
DOID:12123	J84.10	J84	10
DOID:12124	H15.11	H15	11
DOID:12125	H16.23	H16	23
DOID:12129	F50.2	F50	2
DOID:12132	M31.3	M31	3
DOID:12132	M31.30	M31	30
DOID:12134	D66	D66	
DOID:12139	F34.1	F34	1
DOID:12140	B57.2	B57	2
DOID:12140	B57	B57	
DOID:12148	B67.6	B67	6
DOID:12148	B67.7	B67	7
DOID:12155	A87.2	A87	2
DOID:12156	G03	G03	
DOID:12157	G03.0	G03	0
DOID:12161	H35.4	H35	4
DOID:12161	H35.40	H35	40
DOID:12162	H35.45	H35	45
DOID:12164	H35.42	H35	42
DOID:12165	H35.41	H35	41
DOID:12166	H35.43	H35	43
DOID:12167	H35.46	H35	46
DOID:12168	G56.2	G56	2
DOID:12168	G56.20	G56	20
DOID:12169	G56.0	G56	0
DOID:12169	G56.00	G56	00
DOID:12170	G56.3	G56	3
DOID:12170	G56.30	G56	30
DOID:12175	E07.1	E07	1
DOID:12176	E04.9	E04	9
DOID:12177	D83.9	D83	9
DOID:12177	D83	D83	
DOID:1218	B66.8	B66	8
DOID:12185	H80.80	H80	80
DOID:12185	H80.8	H80	8
DOID:1219	B66.2	B66	2
DOID:12190	C18.6	C18	6
DOID:12191	C18.5	C18	5
DOID:12192	C18.7	C18	7
DOID:12196	H16.10	H16	10
DOID:12197	H16.14	H16	14
DOID:12205	A90	A90	
DOID:12206	A91	A91	
DOID:12215	O41.0	O41	0
DOID:12215	O41.00	O41	00
DOID:12217	G31.83	G31	83
DOID:1222	M94.9	M94	9
DOID:1222	M91-M94	M91-M94	
DOID:12225	M67.5	M67	5
DOID:12234	K31.2	K31	2
DOID:12236	K74.3	K74	3
DOID:12236	K74.5	K74	5
DOID:12239	C44.520	C44	520
DOID:12241	D56.1	D56	1
DOID:12257	E27.5	E27	5
DOID:12259	D67	D67	
DOID:12265	N70.13	N70	13
DOID:12265	N70.1	N70	1
DOID:1227	D70	D70	
DOID:1227	D70.9	D70	9
DOID:12270	Q13.0	Q13	0
DOID:12271	Q13.1	Q13	1
DOID:12273	H52.31	H52	31
DOID:12275	A36.3	A36	3
DOID:12276	C62.0	C62	0
DOID:12282	I80.1	I80	1
DOID:12287	A98.0	A98	0
DOID:1229	F20.0	F20	0
DOID:12294	F32.89	F32	89
DOID:12297	H20.82	H20	82
DOID:12297	H30.81	H30	81
DOID:12304	H11.13	H11	13
DOID:12305	Q82.3	Q82	3
DOID:12306	L80	L80	
DOID:12307	H18.01	H18	01
DOID:12308	E80.6	E80	6
DOID:12309	D47.01	D47	01
DOID:12311	H18.06	H18	06
DOID:12318	H18.53	H18	53
DOID:12323	J45.991	J45	991
DOID:12325	I27.1	I27	1
DOID:12328	E41	E41	
DOID:1233	F65.1	F65	1
DOID:1233	F64.1	F64	1
DOID:12335	N50.1	N50	1
DOID:12336	N46.9	N46	9
DOID:12336	N46	N46	
DOID:12337	I86.1	I86	1
DOID:1234	F64.2	F64	2
DOID:12347	Q78.0	Q78	0
DOID:12349	H44.44	H44	44
DOID:1235	F65.0	F65	0
DOID:12355	N41.3	N41	3
DOID:12358	H69.0	H69	0
DOID:12358	H69.00	H69	00
DOID:12360	H05.21	H05	21
DOID:12361	E05.0	E05	0
DOID:12363	H05.25	H05	25
DOID:12364	H05.26	H05	26
DOID:12365	B54	B54	
DOID:12369	N81.0	N81	0
DOID:1237	H18.4	H18	4
DOID:1237	H18.40	H18	40
DOID:12375	J18.0	J18	0
DOID:12377	G12.9	G12	9
DOID:12385	A03	A03	
DOID:12385	A03.9	A03	9
DOID:12385	A03.0	A03	0
DOID:12385	A03.1	A03	1
DOID:12385	A03.2	A03	2
DOID:12386	A07.0	A07	0
DOID:12387	N25.1	N25	1
DOID:12399	F63.0	F63	0
DOID:1240	C95.9	C95	9
DOID:1240	C95	C95	
DOID:1240	C95.90	C95	90
DOID:12400	F63.2	F63	2
DOID:12401	F63.81	F63	81
DOID:12401	F60.3	F60	3
DOID:12402	F63.1	F63	1
DOID:12403	B35.3	B35	3
DOID:1241	H44.82	H44	82
DOID:1242	H44.39	H44	39
DOID:1243	C51.1	C51	1
DOID:12449	D61.9	D61	9
DOID:1245	C51.9	C51	9
DOID:1245	C51	C51	
DOID:12450	D61.81	D61	81
DOID:12465	N25.81	N25	81
DOID:1247	D68.9	D68	9
DOID:12474	B81.1	B81	1
DOID:12491	G52.2	G52	2
DOID:12506	G51.0	G51	0
DOID:12510	H35.82	H35	82
DOID:12522	J67.1	J67	1
DOID:12524	G57.60	G57	60
DOID:12524	G57.6	G57	6
DOID:12526	G57.50	G57	50
DOID:12526	G57.5	G57	5
DOID:12527	G57.3	G57	3
DOID:12527	G57.30	G57	30
DOID:12528	G57.00	G57	00
DOID:12528	G57.0	G57	0
DOID:12531	D69.8	D69	8
DOID:12531	D68.0	D68	0
DOID:12531	D68.00	D68	00
DOID:1254	B81.2	B81	2
DOID:12546	H73.82	H73	82
DOID:12550	K72.91	K72	91
DOID:12550	K76.82	K76	82
DOID:12554	D59.30	D59	30
DOID:12554	D59.3	D59	3
DOID:12556	N17.0	N17	0
DOID:12557	H50.81	H50	81
DOID:12558	H49.4	H49	4
DOID:12566	N77.0	N77	0
DOID:12573	P72.1	P72	1
DOID:12580	Q93.4	Q93	4
DOID:12581	M70.2	M70	2
DOID:12583	Q93.81	Q93	81
DOID:12594	Q60.6	Q60	6
DOID:12603	C95.00	C95	00
DOID:12603	C95.0	C95	0
DOID:12637	N81.81	N81	81
DOID:12638	Q40.0	Q40	0
DOID:12639	K31.1	K31	1
DOID:12641	Q40.1	Q40	1
DOID:12642	K44	K44	
DOID:12657	H93.3	H93	3
DOID:12657	H93.3X	H93	3X
DOID:12661	K03.5	K03	5
DOID:12662	B41	B41	
DOID:12662	B41.9	B41	9
DOID:12663	B40	B40	
DOID:12663	B40.9	B40	9
DOID:12667	H53.30	H53	30
DOID:12668	H53.31	H53	31
DOID:12678	E83.52	E83	52
DOID:12683	A88.1	A88	1
DOID:12683	H81.20	H81	20
DOID:12683	H81.2	H81	2
DOID:12685	F80.2	F80	2
DOID:12697	G83.5	G83	5
DOID:12698	N62	N62	
DOID:1270	I78.0	I78	0
DOID:12700	E22.1	E22	1
DOID:12705	G11.11	G11	11
DOID:1271	I78.9	I78	9
DOID:1271	I78	I78	
DOID:12711	B36.3	B36	3
DOID:12712	Q61.5	Q61	5
DOID:12714	Q77.6	Q77	6
DOID:12716	P22.0	P22	0
DOID:12720	I67.2	I67	2
DOID:12731	H30.2	H30	2
DOID:12733	K03.4	K03	4
DOID:12735	N83.4	N83	4
DOID:12735	N83.40	N83	40
DOID:12750	A07.4	A07	4
DOID:12753	H18.72	H18	72
DOID:12759	C69.3	C69	3
DOID:12783	G43.0	G43	0
DOID:12783	G43.009	G43	009
DOID:12797	F16.1	F16	1
DOID:12798	E76.3	E76	3
DOID:12799	E76.1	E76	1
DOID:12802	E76.0	E76	0
DOID:12803	E76.29	E76	29
DOID:12804	E76.219	E76	219
DOID:12809	H04.03	H04	03
DOID:1283	K46	K46	
DOID:1283	N81.5	N81	5
DOID:12835	G82.5	G82	5
DOID:12835	G82.50	G82	50
DOID:12841	B76.0	B76	0
DOID:12842	G61.0	G61	0
DOID:12849	F84.0	F84	0
DOID:12857	M76.6	M76	6
DOID:12858	G10	G10	
DOID:12883	F45.2	F45	2
DOID:12883	F45.21	F45	21
DOID:12889	G61.0	G61	0
DOID:1289	G31.9	G31	9
DOID:12894	M35.0	M35	0
DOID:12899	K11.8	K11	8
DOID:12900	K11.8	K11	8
DOID:12901	K11.8	K11	8
DOID:12904	K11.6	K11	6
DOID:12905	K11.5	K11	5
DOID:12918	I73.1	I73	1
DOID:12919	B53.0	B53	0
DOID:12929	I42.4	I42	4
DOID:12930	I42.0	I42	0
DOID:12934	H49.81	H49	81
DOID:12935	I42.6	I42	6
DOID:12958	H02.23	H02	23
DOID:12959	H02.2	H02	2
DOID:12959	H02.20	H02	20
DOID:12961	Q79.8	Q79	8
DOID:12971	D58.0	D58	0
DOID:12978	B51	B51	
DOID:12978	B51.9	B51	9
DOID:12987	D70	D70	
DOID:12995	F91	F91	
DOID:12995	F91.9	F91	9
DOID:12996	H04.32	H04	32
DOID:12997	H04.31	H04	31
DOID:13003	G45.0	G45	0
DOID:13014	B30.0	B30	0
DOID:13025	H35.17	H35	17
DOID:13025	H35.10	H35	10
DOID:13025	H35.1	H35	1
DOID:13026	B48.0	B48	0
DOID:13027	G45.4	G45	4
DOID:13031	N47.6	N47	6
DOID:13033	N48.1	N48	1
DOID:13034	A68	A68	
DOID:13034	A68.9	A68	9
DOID:13035	A68.0	A68	0
DOID:13036	A68.1	A68	1
DOID:13037	H02.22	H02	22
DOID:13038	H02.21	H02	21
DOID:13042	P29.30	P29	30
DOID:13042	P29.3	P29	3
DOID:13046	J01.3	J01	3
DOID:13046	J01.30	J01	30
DOID:13068	N25.0	N25	0
DOID:13078	B47	B47	
DOID:13078	B47.9	B47	9
DOID:13080	M12.0	M12	0
DOID:13080	M12.00	M12	00
DOID:13087	I45.6	I45	6
DOID:13088	P91.2	P91	2
DOID:13094	H34.23	H34	23
DOID:13098	H34.1	H34	1
DOID:13099	I67.5	I67	5
DOID:13117	L03.0	L03	0
DOID:13120	D53.0	D53	0
DOID:13133	O14.2	O14	2
DOID:13134	H00.01	H00	01
DOID:13134	H00.03	H00	03
DOID:13137	G12.0	G12	0
DOID:13141	H20.9	H20	9
DOID:13146	B37.81	B37	81
DOID:13148	N30.0	N30	0
DOID:13166	B44.81	B44	81
DOID:13168	C60.0	C60	0
DOID:13169	C63.1	C63	1
DOID:13174	H55.04	H55	04
DOID:13189	M10.9	M10	9
DOID:13189	M10	M10	
DOID:1319	C71	C71	
DOID:1319	C71.9	C71	9
DOID:13195	E04.9	E04	9
DOID:13195	E04.0	E04	0
DOID:13198	E01.2	E01	2
DOID:13206	N40	N40	
DOID:13214	H35.34	H35	34
DOID:13222	D25.0	D25	0
DOID:13223	D25.9	D25	9
DOID:13223	D25	D25	
DOID:13226	A21.1	A21	1
DOID:13238	A25.1	A25	1
DOID:1324	C34.1	C34	1
DOID:1324	C34.2	C34	2
DOID:1324	C34.3	C34	3
DOID:13240	K03.3	K03	3
DOID:13241	M35.2	M35	2
DOID:1325	C34	C34	
DOID:1325	C34.9	C34	9
DOID:13258	A01.00	A01	00
DOID:13258	A01.0	A01	0
DOID:13268	E80.20	E80	20
DOID:13269	E80.29	E80	29
DOID:13270	E80.0	E80	0
DOID:13271	E80.0	E80	0
DOID:1328	A92.4	A92	4
DOID:13300	M42.0	M42	0
DOID:13300	M42.00	M42	00
DOID:13306	A36.85	A36	85
DOID:13310	A36.89	A36	89
DOID:13316	K86.81	K86	81
DOID:13317	E16.9	E16	9
DOID:13326	H10.43	H10	43
DOID:13329	H46.3	H46	3
DOID:13333	K14.3	K14	3
DOID:13336	P37.1	P37	1
DOID:13348	C32.3	C32	3
DOID:13351	F65.4	F65	4
DOID:13353	H16.32	H16	32
DOID:13357	M22.4	M22	4
DOID:13359	Q79.6	Q79	6
DOID:13359	Q79.60	Q79	60
DOID:13366	G25.82	G25	82
DOID:13369	B35.2	B35	2
DOID:13371	A75.3	A75	3
DOID:13372	E88.01	E88	01
DOID:13374	M61.1	M61	1
DOID:13374	M61.10	M61	10
DOID:13378	M30.3	M30	3
DOID:1338	D64.4	D64	4
DOID:13381	D51.0	D51	0
DOID:13382	D53.1	D53	1
DOID:13386	A22.2	A22	2
DOID:13399	H53.5	H53	5
DOID:13399	H53.50	H53	50
DOID:13402	D86.3	D86	3
DOID:13404	D86.89	D86	89
DOID:13406	D86.0	D86	0
DOID:13409	K83.2	K83	2
DOID:13413	K76.82	K76	82
DOID:1342	D61.0	D61	0
DOID:1342	D61.01	D61	01
DOID:1343	N34.2	N34	2
DOID:13444	A24.0	A24	0
DOID:13446	I65.1	I65	1
DOID:13447	H18.02	H18	02
DOID:13448	H18.05	H18	05
DOID:13450	B38.9	B38	9
DOID:13450	B38	B38	
DOID:13452	H15.0	H15	0
DOID:13452	H15.00	H15	00
DOID:13453	A54.49	A54	49
DOID:13461	N36.42	N36	42
DOID:13473	H11.02	H11	02
DOID:13476	C32.1	C32	1
DOID:13481	Q77.1	Q77	1
DOID:13487	F84.3	F84	3
DOID:13498	N34.3	N34	3
DOID:13499	C17.1	C17	1
DOID:13501	Q87.0	Q87	0
DOID:13507	N30.3	N30	3
DOID:13515	Q85.1	Q85	1
DOID:13520	P39.0	P39	0
DOID:13521	A33	A33	
DOID:13523	B74.3	B74	3
DOID:13533	Q78.2	Q78	2
DOID:13543	E21.3	E21	3
DOID:13544	H40.12	H40	12
DOID:13548	G21.9	G21	9
DOID:13548	G21	G21	
DOID:13549	H40.23	H40	23
DOID:13560	D25.2	D25	2
DOID:13561	H47.32	H47	32
DOID:13564	B44.9	B44	9
DOID:13564	B44	B44	
DOID:1357	C31.0	C31	0
DOID:13576	O43.02	O43	02
DOID:13576	O43.029	O43	029
DOID:13579	E40	E40	
DOID:13580	K83.1	K83	1
DOID:13585	M27.3	M27	3
DOID:13589	N97.2	N97	2
DOID:13593	O15	O15	
DOID:13593	O15.9	O15	9
DOID:1360	C31.2	C31	2
DOID:13608	Q44.2	Q44	2
DOID:13620	Q21.12	Q21	12
DOID:13626	H16.13	H16	13
DOID:13628	D55.0	D55	0
DOID:1363	C31.1	C31	1
DOID:13636	D61.09	D61	09
DOID:13651	H04.52	H04	52
DOID:13653	H04.56	H04	56
DOID:13654	H04.54	H04	54
DOID:13654	H04.549	H04	549
DOID:13655	H04.55	H04	55
DOID:13662	K62.6	K62	6
DOID:13664	G04.02	G04	02
DOID:13676	H15.03	H15	03
DOID:13687	K31.5	K31	5
DOID:13689	N42.0	N42	0
DOID:13709	F52.4	F52	4
DOID:13711	K00.3	K00	3
DOID:13724	E54	E54	
DOID:13725	E51.1	E51	1
DOID:13725	E51.11	E51	11
DOID:13736	N71.9	N71	9
DOID:13738	K76.3	K76	3
DOID:13739	K76.1	K76	1
DOID:1375	P39.3	P39	3
DOID:13756	H04.22	H04	22
DOID:13757	H04.20	H04	20
DOID:13757	H04.2	H04	2
DOID:13760	B85.3	B85	3
DOID:13767	B66.1	B66	1
DOID:13768	B66.0	B66	0
DOID:13774	E27.1	E27	1
DOID:13775	B07.0	B07	0
DOID:13778	A57	A57	
DOID:13781	M35.7	M35	7
DOID:13787	H15.82	H15	82
DOID:13788	H15.81	H15	81
DOID:13789	H15.83	H15	83
DOID:13790	H73.0	H73	0
DOID:13790	H73.00	H73	00
DOID:13790	H73.009	H73	009
DOID:13791	H73.01	H73	01
DOID:13794	H15.01	H15	01
DOID:13799	C50.11	C50	11
DOID:1380	C54.1	C54	1
DOID:13800	A74.0	A74	0
DOID:13809	E78.49	E78	49
DOID:1381	L75.2	L75	2
DOID:13810	E78.01	E78	01
DOID:13810	E78.00	E78	00
DOID:13814	G52.3	G52	3
DOID:13819	A55	A55	
DOID:1382	L74.3	L74	3
DOID:13825	H01.02	H01	02
DOID:1383	L74.9	L74	9
DOID:1383	L74	L74	
DOID:13832	Q25.0	Q25	0
DOID:13839	G20-G26	G20-G26	
DOID:13839	G25.9	G25	9
DOID:1386	E78.6	E78	6
DOID:13861	H15.04	H15	04
DOID:13862	H40.21	H40	21
DOID:13864	H49.1	H49	1
DOID:13866	G52.7	G52	7
DOID:13868	F52.0	F52	0
DOID:1387	E78.6	E78	6
DOID:1388	E78.6	E78	6
DOID:13884	I49.5	I49	5
DOID:1389	G62.9	G62	9
DOID:1389	A69.22	A69	22
DOID:13891	J67.2	J67	2
DOID:13902	B36.2	B36	2
DOID:1391	E78.6	E78	6
DOID:13911	H53.51	H53	51
DOID:13912	H53.52	H53	52
DOID:13918	F45.0	F45	0
DOID:4737	F45.0	F45	0
DOID:13919	H52.21	H52	21
DOID:13922	K20.0	K20	0
DOID:13924	A69.1	A69	1
DOID:1393	H47.9	H47	9
DOID:13934	G51.0	G51	0
DOID:13938	N91.2	N91	2
DOID:13945	I67.850	I67	850
DOID:13948	N32.0	N32	0
DOID:13955	D25.1	D25	1
DOID:1397	H05.1	H05	1
DOID:13972	C50.51	C50	51
DOID:1398	H44.12	H44	12
DOID:13994	Q74.0	Q74	0
DOID:13999	H10.53	H10	53
DOID:1400	H04.9	H04	9
DOID:1400	H04	H04	
DOID:14000	H21.1	H21	1
DOID:14018	K70.3	K70	3
DOID:14019	A23.3	A23	3
DOID:14021	M94.0	M94	0
DOID:14022	M89.0	M89	0
DOID:14022	M89.00	M89	00
DOID:14026	D52.9	D52	9
DOID:14026	D52	D52	
DOID:1404	H40.24	H40	24
DOID:14040	E31.0	E31	0
DOID:1405	H40.20	H40	20
DOID:1405	H40.2	H40	2
DOID:14059	C68.1	C68	1
DOID:14067	B50.9	B50	9
DOID:14067	B50	B50	
DOID:14069	B50.0	B50	0
DOID:14075	G51.1	G51	1
DOID:14087	M77.1	M77	1
DOID:14092	I70.1	I70	1
DOID:14095	A77.1	A77	1
DOID:14107	M65.4	M65	4
DOID:14110	C21.1	C21	1
DOID:14110	C21.0	C21	0
DOID:14111	K14.2	K14	2
DOID:14115	A48.3	A48	3
DOID:14118	E78.3	E78	3
DOID:1412	R82.71	R82	71
DOID:14130	N81.12	N81	12
DOID:14131	N81.11	N81	11
DOID:14146	N20.1	N20	1
DOID:14159	G91.1	G91	1
DOID:1417	H31.9	H31	9
DOID:14172	I09.81	I09	81
DOID:14175	Q85.83	Q85	83
DOID:14176	D80.3	D80	3
DOID:14181	M75.3	M75	3
DOID:14183	G62.1	G62	1
